,document_id,text
0,1,Philosophie.
1,2,Uiber Preßfreyheit und deren Grä nzen.
2,3,"Zur Beherzigung für Regenten, Censoren, und Schriftsteller."
3,4,1787.
4,5,134 S. 8.
5,6,"Wir räumen dieser Schrift den ersten Platz in unsern Blättern ein, weil wir sie sowohl in Ansehung des Stoffes, der so genau mit dem Besten der Menschheit zusammenhängt, als in Ansehung der Behandlung, die ihres Gegenstandes allerdings würdig ist, für eines der wichtigsten Producte halten, welches im verflossenen Jahre auf deutschem Boden gewachsen ist."
6,7,"Wer es immer mit der Wahrheit gut und redlich meint, bey Erforschung und Prüfung derselben auf keine Nebendinge, sondern nur allzeit auf sie selbst Rücksicht zu nehmen gewohnt ist;"
7,8,"der kann gewiß nicht umhin, sich über diese mit seltenem Scharfsinne, Wahrheitsliebe, und einer noch seltneren Freymüthigleit verfaßte Schrift aus ganzer Seele zu freuen, und den Wunsch zu hegen, daß der tiefdenkende Verfasser, ja, daß mehrere ähnlich gestimmte Männer Deutschlands sich entschließen mochten, dergleichen Gegenstände, von deren deutlicher und freymüthiger Auseinandersetzung die Aufklärung und Glückseligkeit des menschlichen Geschlechts unmittelbar abhangen, mit vereinigten Kräften zu bearbeiten, und dadurch der Menschheit einen der wesentlichsten Dienste zu erweisen."
8,9,"Hier und da scheint der V. zwar seine Begriffe zu weig bestimmt zu haben, und in einigen Fällen die Gränzen der Preßfreyheit zu weit ausdehnen zu wollen;"
9,10,"diese wenigen Fehler aber wird man ihm in Ansehung des vielen Guten, das seine Schrift enthält, um so eher nachsehen, da sich darin nirgendo seine vernünftige Wahrheitsliebe, und sein edler Herzenodrang für die gute Sache verkennen läßt."
10,11,"Diese Schrift hat übrigens noch das auszeichnende Verdienst, daß sie alles, was bisher über diesen wichtigen Gegenstand, der seit einiger Zeit im deutschen Publicum öfters zur Sprache gekommen ist, geschrieben worden, in bündiger Kürze, in genauer Ordnung, mit solchem Nachdrucke und Stärke vorträgt, daß gewiß jeder, der nicht von Vorurtheilen eingenommen ist, davon überzeugt werden muß."
11,12,Der V. behandelt seinen Stoff in 18 Abschnitten und zwar in folgender Ordnung:
12,13,"Jn den 5 ersten Abschnitten sucht er die nöthigen Vorbegriffe und Vordersätze zu entwickeln, auf welche er sein System von der Preßfreyheit gründet;"
13,14,"in dem 6ten und 7ten Abschnitt trägt- er seine Gesinnungen über Preßfreyheit und ihre Gränzen überhaupt vor, wovon er in den folgenden Abschnitten 1) auf die Religion von Nro. 8 — 16. 2) auf Staaten und Regenten in Nro."
14,15,17. und 3)
15,16,auf Privatleute in Nro.
16,17,18. die Anwendung machet.
17,18,"Die Prämissen, die er seinen Gesinnungen zum Grur de legt, sind folgende: 1. Freyheit zu denken ist das höchste Kleinod der Menschheit, die einzige (sollte wohl heißen: die vorzůglichste?"
18,19,) wahre Quelle aller menschlichen Aufklärung;
19,20,diese ist der wesentliche Grund aller menschlichen Glückseligleit.
20,21,"2. Aufklärung kann so wenig in der Größe der Verstandeskräfte zu suchen seyn, als in der Menge eingesammelter Kenntnisse."
21,22,"Sie muß, wenn sie die Grundlage der Glückseligleit ist, das Ziel aller Menschen seyn: wie auch der Stifter des Christenthums sie betrachtete."
22,23,"Zur Aufklärung gehört, daß man selbst denken lerne, von den Gegenständen deutliche Begriffe habe, die man selbst in der sinnlichen Welt aufgesucht, abgezogen, verglichen, entwickelt, und geprüft hat."
23,24,ꝛc.
24,25,"Der Gegenstand der Aufklärung ist Wahrheit, welche die allgemeine menschliche Glückseligkeit begründet."
