,annotation_id,line_id,start,end,label,label_text,merged
2,27229_36603_2_3,6,321,340,LOC,auf deutschem Boden,True
3,4,8,200,203,PER,der,False
5,6,8,262,268,PER,Männer,False
6,7,8,262,281,ORG,Männer Deutschlands,False
9,10,10,35,38,PER,ihm,False
11,12,11,146,155,ORG,deutschen,False
12,13,11,156,164,ORG,Publicum,False
14,15,16,4,15,PER,Privatleute,False
15,17,19,34,44,MISC,Aufklärung,False
16,18,21,3,13,MISC,Aufklärung,False
18,19_27250_20,22,99,124,PER,Stifter des Christenthums,True
20,22,23,4,14,MISC,Aufklärung,False
21,23,25,19,29,MISC,Aufklärung,False
23,25,26,63,73,MISC,Aufklärung,False
24,26,26,175,185,MISC,Aufklärung,False
25,27,27,9,19,MISC,Aufklärung,False
31,41,50,74,95,MISC,aufgeklärten Menschen,False
32,42,50,200,208,MISC,Anhänger,False
33,43,50,213,229,MISC,blinden Glaubens,False
36,55,68,16,39,ORG,bürgerlichen Geschäften,False
38,61,77,73,88,MISC,heilige Schrift,False
39,62,77,112,118,ORG,Kirche,False
43,70,88,118,143,ORG,Dienern der Gerechtigkeit,False
46,80,96,9,18,ORG,Francorum,False
50,85,103,0,4,PER,Prof,False
53,88,105,14,22,PER,Levrault,False
57,93,108,74,102,MISC,Capitularien der Fränkischen,False
60,96,108,103,109,MISC,Konige,False
61,95_36680_97,108,91,109,ORG,Fränkischen Konige,True
62,98,108,103,109,PER,Konige,False
64,99_36683_100,110,22,125,MISC,"Dissertatio de Capitularium Regum Francorum nomine, dignitate, auctoritate, et usu tam in rebus eccles.",True
65,36684_101,111,0,132,MISC,"quam politicis, nec non de eorundem collectionibus et editionibus, quam per modum praefationis collectioni Capitularium Regum Frane.",True
70,108,121,48,83,MISC,Capitularien der Fränlischen Könige,False
71,112,126,48,74,ORG,bürgerliche Gesellschaften,False
72,115,131,0,7,PER,Fürsten,False
75,119,134,17,23,ORG,Staate,False
76,120,134,34,39,ORG,Staat,False
80,124,136,32,38,ORG,Staate,False
82,126,137,108,129,ORG,christlichen Religion,False
84,128,138,94,105,MISC,Publicisten,False
90,134,144,0,20,ORG,Allgemeine Concilien,False
94,137_27378_138,147,101,123,PER,öffentlicher Professor,True
98,142_27382_143,149,35,57,PER,öffentlichen Professor,True
99,144,149,108,133,ORG,bischöflichen Universität,False
100,145,152,9,19,ORG,Canonisten,False
101,146,152,45,51,ORG,Kirche,False
102,147,152,82,91,ORG,Concilien,False
109,157,159,40,45,ORG,Staat,False
110,158,159,208,213,PER,Fürst,False
112,161,162,20,25,PER,Fürst,False
114,36738_162_27406_163,164,38,78,TIME,aus den letzten Jahren Marien Theresiens,True
116,165,166,19,24,PER,Fürst,False
117,166,166,65,99,PER,Beschützer der Kirchenverordnungen,False
142,196_27461_36766_197_27463_199,178,49,139,PER,"Prinz Rohan⸗Rochefort Canonicus in Straßburg Deo duce, et Auspice Deipara, Praeside Franc.",True
145,202,198,29,38,ORG,Germaniae,False
146,27476_203,198,69,100,PER,Henricus IV. Imperator exercuit,True
147,27477_204,198,120,134,PER,Gregorius VII.,True
155,211_27489_212,207,97,114,ORG,imperio germanico,True
156,213,208,0,16,ORG,coronae Gallicae,False
161,218,210,87,96,ORG,Deutschen,False
162,219,210,87,96,LOC,Deutschen,False
164,222,210,179,189,ORG,Frankreich,False
166,224,210,194,202,ORG,Schweden,False
170,229_27507_36786_230,214,61,110,ORG,neuen Lehrstuhle der Staaterechnungs Wissenschaft,True
172,233_27510_36790_234,215,48,59,PER,Hrn. Brand.,True
173,238,219,20,28,PER,Regenten,False
174,239,219,30,38,PER,Censoren,False
175,240,219,44,58,PER,Schriftsteller,False
181,251,257,100,103,PER,der,False
187,261,270,16,36,ORG,gesetzgebenden Macht,False
189,36827_263,273,18,55,MISC,k. k. Verordnung für die Büchercensur,True
192,269,278,56,62,ORG,Staate,False
193,273,283,64,70,ORG,Staate,False
194,274,284,4,9,ORG,Staat,False
197,278,288,169,174,ORG,Staat,False
198,283,293,154,161,ORG,Staates,False
200,286,294,116,122,ORG,Staate,False
205,293,301,66,76,ORG,kirchliche,False
206,294,302,10,30,ORG,kirchlichen Religion,False
210,300_27598_36853_303,307,41,62,TIME,am Sesttage des heil.,True
227,27612_321,315,7,32,ORG,Joseph Wolffischen Buchh.,True
234,328,321,0,12,PER,Neuprofessen,False
237,333,326,242,253,PER,Domprediger,False
245,344,330,217,245,PER,wohlehrwurdigen Neuprofessen,False
248,349,334,41,53,PER,gewöhnlichen,False
249,350,334,54,68,PER,Schultheologen,False
255,355_27653_36909_356,336,243,267,PER,seinem himmlischen Vater,True
256,357,337,52,55,PER,die,False
257,358,337,56,68,PER,Neuprofessen,False
260,362,339,121,125,PER,heil,False
262,364,340,0,6,PER,Vätern,False
263,365,341,55,58,PER,die,False
264,366,341,59,63,PER,heil,False
265,367,342,0,5,PER,Väter,False
274,36932_377_27674_36934_380,346,59,108,ORG,Neichsritterstifte Odenheim Speyerischen Bisthums,True
276,383,348,20,33,PER,Enderesischen,False
277,384,348,20,43,MISC,Enderesischen Schriften,False
278,385,348,20,43,ORG,Enderesischen Schriften,False
279,388,351,24,36,PER,Dompredigers,False
281,390,352,26,38,PER,Dorfpfarrers,False
282,27685_36941_394,353,7,48,TIME,Nacht vom 2 — auf den 29sten December 787,True
283,27688_36944_396,354,4,48,PER,"P. Constantinus Langhaider, Benedictiner von",True
284,397,354,32,44,ORG,Benedictiner,False
286,399,354,49,69,PER,"Kremsmünster, Hochs.",False
289,402,355,52,105,PER,"an der hiesigen boben Schnle, ein wegen verschiedener",False
290,404,355,106,157,PER,"Schriften aus dem Kitchenrechte, beruhter Gelehrter",False
291,27699_36953_409,356,0,52,PER,"Hr. Brunner, ein junger, thätiger, und helldenkender",True
292,410,356,53,77,PER,katholischer Geistlicher,False
294,412,356,106,108,LOC,zu,False
297,418,361,51,54,PER,der,False
298,419,361,55,82,PER,"ächte Philosoph, und Christ",False
305,424_27709_36962_27710_425_27713_36966_427,368,28,129,PER,"Hrn. B. v. Beroldingen, Dommherrn zu Speyer und Hildesheim, dann Canonicus des Ritterstiftes Odenheim",True
