,start,end,label,label_text
0,113,117,TIME,1787
1,450,469,LOC,auf deutschem Boden
2,428,449,TIME,im verflossenen Jahre
3,866,869,PER,der
4,928,934,PER,Männer
5,928,947,ORG,Männer Deutschlands
6,870,892,PER,tiefdenkende Verfasser
7,935,947,LOC,Deutschlands
8,1061,1071,EVENT,Aufklärung
9,1278,1279,PER,V
10,1443,1446,PER,ihm
11,1792,1801,ORG,deutschen
12,1802,1810,ORG,Publicum
13,1792,1801,LOC,deutschen
14,2040,2041,PER,V
15,2149,2151,PER,er
16,2219,2221,PER,er
17,2302,2304,PER,er
18,2499,2510,PER,Privatleute
19,2564,2566,PER,er
20,2767,2777,MISC,Aufklärung
21,2754,2777,EVENT,menschlichen Aufklärung
22,2849,2859,MISC,Aufklärung
23,2849,2859,EVENT,Aufklärung
24,3067,3092,PER,Stifter des Christenthums
25,3079,3092,ORG,Christenthums
26,3114,3124,MISC,Aufklärung
27,3114,3124,EVENT,Aufklärung
28,3333,3343,MISC,Aufklärung
29,3333,3343,EVENT,Aufklärung
30,3481,3491,MISC,Aufklärung
31,3593,3603,MISC,Aufklärung
32,3578,3580,PER,er
33,3423,3432,PER,Verfasser
34,3481,3491,EVENT,Aufklärung
35,3593,3603,EVENT,Aufklärung
36,3664,3674,MISC,Aufklärung
37,3664,3674,EVENT,Aufklärung
38,4102,4103,PER,V
39,4753,4755,PER,er
40,4719,4722,PER,Rec
41,4741,4742,PER,V
42,5521,5522,PER,V
43,5547,5549,PER,er
44,5791,5792,PER,V
45,6053,6074,MISC,aufgeklärten Menschen
46,6179,6187,MISC,Anhänger
47,6192,6208,MISC,blinden Glaubens
48,6008,6011,PER,ihm
49,6434,6457,MISC,in dem männlichen Alter
50,6759,6761,MISC,ꝛc
51,6781,6782,PER,V
52,7498,7499,PER,V
53,7594,7605,EVENT,aufgeklärte
54,7680,7703,ORG,bürgerlichen Geschäften
55,7758,7772,MISC,Leidenschaften
56,8052,8053,PER,V
57,8594,8609,MISC,heilige Schrift
58,8633,8639,ORG,Kirche
59,8710,8713,PER,Rec
60,8730,8734,MISC,Gott
61,8730,8734,PER,Gott
62,8856,8860,PER,Gott
63,8964,8965,PER,V
64,9332,9333,MISC,c
65,9335,9338,PER,Rec
66,9458,9483,ORG,Dienern der Gerechtigkeit
67,9527,9528,PER,V
68,9592,9596,PER,Gott
69,9777,9783,PER,Gottes
70,10117,10119,MISC,ꝛc
71,10278,10287,ORG,Francorum
72,10272,10287,PER,Regum Francorum
73,10269,10415,MISC,"De Regum Francorum Capitularibus. Authore Franc. Georg. Ditterich, Rdmi et celsmiEpiscopi Principis Spirensis Consil. intimo act. Iuris publ. ecel"
74,10311,10334,PER,Franc. Georg. Ditterich
75,10417,10421,PER,Prof
76,10417,10432,MISC,Prof. publ. ord
77,10448,10456,PER,Levrault
78,10448,10456,ORG,Levrault
79,10434,10443,LOC,Straßburg
80,10434,10456,MISC,Straßburg bey Levrault
81,10457,10461,TIME,1787
82,10554,10577,PER,"H. geh. Rath, und Prof."
83,10554,10555,MISC,H
84,10636,10664,MISC,Capitularien der Fränkischen
85,10665,10671,MISC,Konige
86,10653,10671,ORG,Fränkischen Konige
87,10665,10671,PER,Konige
88,10562,10566,MISC,Rath
89,10653,10664,LOC,Fränkischen
90,10699,10702,PER,Rec
91,10726,10980,MISC,"Dissertatio de Capitularium Regum Francorum nomine, dignitate, auctoritate, et usu tam in rebus eccles. quam politicis, nec non de eorundem collectionibus et editionibus, quam per modum praefationis collectioni Capitularium Regum Frane. a se Parisiis an."
92,10754,10769,PER,Regum Francorum
93,10950,10961,PER,Regum Frane
94,10968,10976,LOC,Parisiis
95,10977,10979,TIME,an
